name,province,city,type,mood_slug,keywords,one_line,logo_url,external_id,tags
北京交通大学,北京,北京,理工,rational_creator,交通|工程|信息,知行合一，交通强校,,211_001,211|工程导向|交通特色|务实进取
北京科技大学,北京,北京,理工,rational_creator,材料|冶金|工程,求实鼎新，兴国强邦,,211_002,211|材料冶金|工程强|严谨务实
北京化工大学,北京,北京,理工,rational_creator,化工|材料|环境,明德任责，求是创新,,211_003,211|化工特色|工程|实践导向
北京邮电大学,北京,北京,理工,innovative_pioneer,通信|电子|信息,厚德积学，求是创新,,211_004,211|通信电子|信息强|创新驱动
北京林业大学,北京,北京,农业,practical_leader,生态|林学|环境,知山知水，树人树木,,211_005,211|生态环境|林学|实践型
中国政法大学,北京,北京,政法,scholarly_thinker,法学|政务|人文,厚德博学，明法尚公,,211_006,211|法学特色|人文社科|思辨型
中央财经大学,北京,北京,财经,practical_leader,金融|经济|财税,求真务实，知行合一,,211_007,211|财经|经管|务实
对外经济贸易大学,北京,北京,财经,global_explorer,国际贸易|经管|外语,博学诚信，求索笃行,,211_008,211|国际化|经贸|开放包容
北京外国语大学,北京,北京,外语,global_explorer,语言|国际|人文,兼容并蓄，通达天下,,211_009,211|外语|国际视野|交流合作
北京中医药大学,北京,北京,医药,practical_leader,中医|药学|医学,厚德精业，传承创新,,211_010,211|医学医药|传承创新|实践型
华北电力大学(北京),北京,北京,理工,rational_creator,电力|能源|信息,自强不息，求实创新,,211_011,211|能源电力|工程|务实
中国地质大学(北京),北京,北京,理工,rational_creator,地质|资源|环境,艰苦朴素，求真务实,,211_012,211|地质资源|工程|野外实践
中国石油大学(北京),北京,北京,理工,rational_creator,石油|化工|工程,惟真惟实，勤思勤学,,211_013,211|石油化工|工程|实干
华东理工大学,上海,上海,理工,rational_creator,化工|材料|制药,勤奋求实，开拓创新,,211_014,211|化工材料|工程|创新
东华大学,上海,上海,理工,rational_creator,纺织|材料|设计,崇德尚学，励志图强,,211_015,211|纺织材料|工程|设计融合
上海外国语大学,上海,上海,外语,global_explorer,语言|国际|区域,兼容并蓄，融通世界,,211_016,211|外语|国际化|交流
上海财经大学,上海,上海,财经,practical_leader,金融|会计|经济,厚德博学，经济济世,,211_017,211|财经|经管|务实
上海大学,上海,上海,综合,scholarly_thinker,理工|人文|艺术,自强不息，兼容并包,,211_018,211|综合|城市型|多学科
西南大学,重庆,重庆,综合,scholarly_thinker,教育|农学|心理,含弘自强，求是创新,,211_019,211|教育与农学|人文|西部
河北工业大学,河北,天津,理工,rational_creator,工程|机械|材料,严谨求实，开拓进取,,211_020,211|工程|制造|务实
太原理工大学,山西,太原,理工,rational_creator,工程|材料|信息,求真务实，开拓创新,,211_021,211|工程|山西|实践
内蒙古大学,内蒙古,呼和浩特,综合,scholarly_thinker,民族|生态|人文,自强不息，厚德载物,,211_022,211|民族特色|人文社科|生态
大连海事大学,辽宁,大连,理工,rational_creator,航运|海事|法律,扬帆致远，求是笃行,,211_023,211|海事航运|工程|沿海
辽宁大学,辽宁,沈阳,综合,scholarly_thinker,人文|经济|法学,自强不息，博学笃行,,211_024,211|人文社科|东三省|综合
延边大学,吉林,延吉,综合,scholarly_thinker,民族|医学|外语,自强不息，敦品励学,,211_025,211|民族特色|边疆|人文
东北师范大学,吉林,长春,师范,scholarly_thinker,教育|中文|心理,学为人师，行为世范,,211_026,211|师范教育|人文|思辨
哈尔滨工程大学,黑龙江,哈尔滨,理工,rational_creator,船舶|航天|信息,严谨求实，勇于创新,,211_027,211|工程|航海|实践
东北林业大学,黑龙江,哈尔滨,农业,practical_leader,林学|生态|环境,知山知水，树木树人,,211_028,211|生态林学|实践|北方
南京航空航天大学,江苏,南京,理工,rational_creator,航空航天|控制|信息,止于至善，开物成务,,211_029,211|航天|工程|务实
南京理工大学,江苏,南京,理工,rational_creator,兵器|材料|电子,厚德博学，知行合一,,211_030,211|兵器材料|工程|实践
河海大学,江苏,南京,理工,rational_creator,水利|水务|环境,艰苦朴素，求真务实,,211_031,211|水利水电|工程|应用型
中国矿业大学,江苏,徐州,理工,rational_creator,矿业|资源|工程,艰苦朴素，求真务实,,211_032,211|矿业资源|工程|实干
苏州大学,江苏,苏州,综合,scholarly_thinker,医学|人文|理工,养天地正气，法古今完人,,211_033,211|综合|江南|人文理工
南京师范大学,江苏,南京,师范,scholarly_thinker,教育|中文|心理,正德厚生，笃学敏行,,211_034,211|师范教育|人文|学术
江南大学,江苏,无锡,理工,rational_creator,食品|纺织|设计,笃学尚行，止于至善,,211_035,211|食品工程|设计|实践
南京农业大学,江苏,南京,农业,practical_leader,农学|生态|生命,诚朴勤仁，敦学励志,,211_036,211|农业特色|生态|实干
安徽大学,安徽,合肥,综合,scholarly_thinker,人文|理工|经管,至善至美，博学笃行,,211_037,211|综合|安徽|人文理工
合肥工业大学,安徽,合肥,理工,rational_creator,工程|制造|信息,团结勤奋，求是创新,,211_038,211|工程制造|理工|实践
福州大学,福建,福州,理工,rational_creator,工程|材料|化工,明德至善，博学远志,,211_039,211|工程|化工|务实
南昌大学,江西,南昌,综合,scholarly_thinker,医学|理工|人文,格物致知，诚意正心,,211_040,211|综合|江西|人文理工
中国石油大学(华东),山东,青岛,理工,rational_creator,石油|化工|海洋,惟真惟实，勤思勤学,,211_041,211|石油化工|海洋|工程
郑州大学,河南,郑州,综合,scholarly_thinker,医学|理工|人文,求是担当，追求卓越,,211_042,211|综合|中原|人文理工
华中师范大学,湖北,武汉,师范,scholarly_thinker,教育|中文|心理,求实创新，为人师表,,211_043,211|师范教育|人文|学术
武汉理工大学,湖北,武汉,理工,rational_creator,材料|交通|工程,厚德博学，追求卓越,,211_044,211|工程|材料交通|务实
中南财经政法大学,湖北,武汉,财经,practical_leader,金融|法学|经济,博学笃行，知行合一,,211_045,211|财经政法|务实|人文
华中农业大学,湖北,武汉,农业,practical_leader,农学|生态|生命,勤读力耕，立己达人,,211_046,211|农业|生态|实干
中国地质大学(武汉),湖北,武汉,理工,rational_creator,地质|资源|环境,艰苦朴素，求真务实,,211_047,211|地质资源|工程|实地
湖南师范大学,湖南,长沙,师范,scholarly_thinker,教育|中文|心理,仁爱精勤，博学笃行,,211_048,211|师范教育|人文|学术
暨南大学,广东,广州,综合,global_explorer,人文|经管|华侨,忠信笃敬，知行合一,,211_049,211|侨校|国际化|人文
华南师范大学,广东,广州,师范,scholarly_thinker,教育|心理|中文,教书育人，立德树人,,211_050,211|师范教育|人文|务实
广西大学,广西,南宁,综合,scholarly_thinker,农学|工学|人文,自强不息，厚德载物,,211_051,211|西部|农业与工程|综合
海南大学,海南,海口,综合,scholarly_thinker,农学|海洋|人文,海纳百川，止于至善,,211_052,211|海洋与农业|南方|综合
西南财经大学,四川,成都,财经,practical_leader,金融|会计|经济,勤奋求是，严谨务实,,211_053,211|财经|经管|务实
西南交通大学,四川,成都,理工,rational_creator,交通|土木|工程,兴学强国，交通天下,,211_054,211|交通工程|土木|务实
四川农业大学,四川,雅安,农业,practical_leader,农学|生态|生命,勤奋求实，自强不息,,211_055,211|农业|生态|西部
贵州大学,贵州,贵阳,综合,scholarly_thinker,工学|农学|人文,明德致知，止于至善,,211_056,211|西部|综合|务实
云南大学,云南,昆明,综合,scholarly_thinker,人文|生态|法学,会泽百家，至公天下,,211_057,211|西部|人文生态|综合
西北大学,陕西,西安,综合,scholarly_thinker,人文|地质|历史,公诚勤朴，励志图强,,211_058,211|人文科学|西部|学术
长安大学,陕西,西安,理工,rational_creator,交通|土木|工程,勤学修德，知行合一,,211_059,211|交通土木|工程|务实
西安电子科技大学,陕西,西安,理工,innovative_pioneer,电子|通信|信息,团结勤奋，求是创新,,211_060,211|电子通信|信息强|创新
陕西师范大学,陕西,西安,师范,scholarly_thinker,教育|中文|心理,厚德积学，知行合一,,211_061,211|师范教育|人文|西部
青海大学,青海,西宁,综合,scholarly_thinker,牧医|生态|工学,知行合一，服务地方,,211_062,211|西部|生态牧医|综合
宁夏大学,宁夏,银川,综合,scholarly_thinker,农学|工学|人文,自强不息，厚德载物,,211_063,211|西部|农业与工程|综合
新疆大学,新疆,乌鲁木齐,综合,scholarly_thinker,民族|工学|人文,求是创新，团结奋进,,211_064,211|西部|民族|综合
石河子大学,新疆,石河子,综合,scholarly_thinker,农学|医学|工学,团结求实，奋发向上,,211_065,211|农业与医学|西部|务实
北京工业大学,北京,北京,理工,rational_creator,工程|制造|信息,求是创新，励学笃行,,211_066,211|工程|制造|务实
天津医科大学,天津,天津,医药,practical_leader,医学|临床|药学,厚德精医，仁心仁术,,211_067,211|医学|临床|实践
中国医科大学,辽宁,沈阳,医药,practical_leader,医学|临床|生命,博学精医，至善至美,,211_068,211|医学|东北|务实
哈尔滨医科大学,黑龙江,哈尔滨,医药,practical_leader,医学|临床|公共卫生,严谨求实，仁爱精诚,,211_069,211|医学|北方|实践
中国药科大学,江苏,南京,医药,practical_leader,药学|制药|医学,厚德博学，笃行致远,,211_070,211|药学|工程制药|务实