university,mbti_type,mbti_desc
武汉大学,INFJ,温和理智型，理想主义与人文关怀并重
清华大学,INTJ,战略型，理性、目标导向、创新力强
北京大学,INTP,思辨型，学术自由、思想开放
复旦大学,ENFJ,领导型，关怀社会、组织力强
中国传媒大学,ENFP,创意型，表达力强、艺术气息浓厚
上海交通大学,ISTJ,稳重型，严谨、务实、执行力强
浙江大学,ENTP,创新型，思维活跃、跨界融合
南京大学,ISFP,温柔型，低调、包容、艺术气质
厦门大学,ESFP,活力型，热情、乐观、社交能力强
同济大学,ESTJ,管理型，组织力强、注重规则
中山大学,ISFJ,守护型，温和、细致、责任感强
华中科技大学,ISTP,实干型，动手能力强、务实创新
西安交通大学,ENTJ,统帅型，目标明确、执行力强
四川大学,INFP,理想型，温和、富有同情心
山东大学,ESFJ,关怀型，乐于助人、团队意识强
重庆大学,ESTP,行动型，果断、适应力强
天津大学,ISTJ,稳重型，严谨、务实、工程气质
北京航空航天大学,INTP,思辨型，技术创新、学术自由
北京理工大学,ENTP,创新型，思维活跃、技术驱动
华东师范大学,INFJ,温和理智型，教育理想主义
中国人民大学,ENFJ,领导型，社会关怀、组织力强
北京师范大学,ISFJ,守护型，温和、细致、责任感强
南京理工大学,ISTP,实干型，动手能力强、务实创新
东南大学,ENTJ,统帅型，目标明确、执行力强
武汉理工大学,ISTJ,稳重型，严谨、务实、工程气质
华南理工大学,ESTP,行动型，果断、适应力强
西北工业大学,INTP,思辨型，技术创新、学术自由
西南交通大学,ENTP,创新型，思维活跃、技术驱动
电子科技大学,INTJ,战略型，理性、工程思维突出
湖南大学,INFP,理想型，温和、富有同情心
吉林大学,ESFJ,关怀型，乐于助人、团队意识强
兰州大学,INFJ,温和理智型，理想主义与人文关怀并重
东北大学,ISTJ,稳重型，严谨、务实、工程气质
大连理工大学,INTJ,战略型，理性、工程思维突出
华中农业大学,ESFP,活力型，热情、乐观、自然气息浓厚
西南大学,ENFP,创意型，表达力强、教育气息浓厚
中国地质大学,ISTP,实干型，动手能力强、探索精神
中国矿业大学,ISTJ,稳重型，严谨、务实、工程气质
中国石油大学,ESTJ,管理型，组织力强、注重规则
中国海洋大学,ISFP,温柔型，低调、包容、自然气质
中国医科大学,INFJ,温和理智型，关怀社会、医学理想主义
首都医科大学,ISFJ,守护型，温和、细致、医学责任感强
北京中医药大学,INFP,理想型，温和、富有同情心、医学人文
中国药科大学,ESFJ,关怀型，乐于助人、医学团队意识强
南京中医药大学,INFJ,温和理智型，医学理想主义
上海中医药大学,INFP,理想型，温和、富有同情心、医学人文
广东药科大学,ESFJ,关怀型，乐于助人、医学团队意识强
北京邮电大学,INTP,思辨型，技术创新、学术自由
北京交通大学,ENTJ,统帅型，目标明确、执行力强
北京科技大学,ISTJ,稳重型，严谨、务实、工程气质
北京化工大学,INTJ,战略型，理性、工程思维突出
北京工业大学,ENTP,创新型，思维活跃、技术驱动
北京信息科技大学,INTP,思辨型，技术创新、学术自由
北京联合大学,ESFP,活力型，热情、乐观、社交能力强
北京农学院,ISFP,温柔型，低调、包容、自然气质
北京体育大学,ESTP,行动型，果断、适应力强、体育气质
北京第二外国语学院,ENFP,创意型，表达力强、语言气息浓厚
北京语言大学,INFP,理想型，温和、富有同情心、语言人文
中国政法大学,ENTJ,统帅型，目标明确、法律气质
中央财经大学,INTJ,战略型，理性、财经思维突出
对外经济贸易大学,ENTP,创新型，思维活跃、财经气质
上海财经大学,INTJ,战略型，理性、财经思维突出
中南财经政法大学,ENTJ,统帅型，目标明确、财经法律气质
西南财经大学,ENTP,创新型，思维活跃、财经气质
东北财经大学,INTJ,战略型，理性、财经思维突出
江西财经大学,ENTJ,统帅型，目标明确、财经气质
山东财经大学,ENTP,创新型，思维活跃、财经气质
云南大学,INFP,理想型，温和、富有同情心
贵州大学,ESFJ,关怀型，乐于助人、团队意识强
广西大学,ENFP,创意型，表达力强、艺术气息浓厚
海南大学,ESFP,活力型，热情、乐观、自然气息浓厚
西藏大学,INFP,理想型，温和、富有同情心
青海大学,ISFJ,守护型，温和、细致、责任感强
宁夏大学,ISTJ,稳重型，严谨、务实、工程气质
新疆大学,ENTJ,统帅型，目标明确、执行力强
内蒙古大学,INFP,理想型，温和、富有同情心
黑龙江大学,ESFJ,关怀型，乐于助人、团队意识强
河北大学,ENFP,创意型，表达力强、艺术气息浓厚
河南大学,ESFP,活力型，热情、乐观、社交能力强
山西大学,ISTJ,稳重型，严谨、务实、工程气质
陕西师范大学,ISFJ,守护型，温和、细致、责任感强
湖南师范大学,INFJ,温和理智型，教育理想主义
华南师范大学,ENFJ,领导型，教育关怀、组织力强
东北师范大学,ISFJ,守护型，温和、细致、责任感强
中国农业大学,ISTJ,稳重型，严谨、务实、工程气质
南京农业大学,ISFJ,守护型，温和、细致、责任感强
合肥工业大学,INTJ,战略型，理性、工程思维突出
太原理工大学,ISTJ,稳重型，严谨、务实、工程气质
郑州大学,ISTJ,稳重型，严谨、务实、工程气质
苏州大学,INFP,理想型，温和、富有同情心
安徽大学,ISFJ,守护型，温和、细致、责任感强
福州大学,ESFP,活力型，热情、乐观、社交能力强
暨南大学,ENFP,创意型，表达力强、跨文化融合
深圳大学,ENTP,创新型，思维活跃、技术驱动
广东工业大学,ISTJ,稳重型，严谨、务实、工程气质
广东外语外贸大学,ENFP,创意型，表达力强、语言气息浓厚
广州大学,ESFP,活力型，热情、乐观、社交能力强
河海大学,ISTJ,稳重型，严谨、务实、水利工程气质
华北电力大学,INTJ,战略型，理性、工程思维突出
上海外国语大学,ENFP,创意型，表达力强、语言气息浓厚